filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-17T16:13:09.072Z,NVDA,SELL,0.75,186.5000,139.88,Open Short,,,,0.000000,Open Short,0.125887
2025-11-17T16:13:09.923Z,XYZ100,BUY,0.001,24926.0000,-24.93,Open Long,,,,0.000000,Open Long,0.022433
2025-11-17T16:13:09.923Z,XYZ100,BUY,0.009,24926.0000,-224.33,Open Long,,,,0.000000,Open Long,0.201900
2025-11-17T16:38:22.510Z,NVDA,SELL,0.53,187.4100,99.33,Open Short,,,,0.000000,Open Short,0.089394
2025-11-17T17:16:25.536Z,TSLA,BUY,0.064,421.0400,-26.95,Open Long,,,,0.000000,Open Long,0.024251
2025-11-17T17:16:25.536Z,TSLA,BUY,0.054,421.0400,-22.74,Open Long,,,,0.000000,Open Long,0.020462
2025-11-17T17:16:25.536Z,TSLA,BUY,0.053,421.0400,-22.32,Open Long,,,,0.000000,Open Long,0.020083
2025-11-17T17:16:25.536Z,TSLA,BUY,0.109,421.0400,-45.89,Open Long,,,,0.000000,Open Long,0.041304
2025-11-17T17:36:00.417Z,NVDA,SELL,0.088,187.8200,16.53,Open Short,,,,0.000000,Open Short,0.014875
2025-11-17T18:54:13.298Z,XYZ100,SELL,0.003,24900.0000,74.70,Close Long,,,,-0.078000,Close Long,0.067230
2025-11-17T18:54:13.298Z,XYZ100,SELL,0.0114,24900.0000,283.86,Long > Short,,,,-0.182000,Long > Short,0.255474
2025-11-17T18:54:13.298Z,XYZ100,SELL,0.005,24900.0000,124.50,Open Short,,,,0.000000,Open Short,0.112050
2025-11-17T19:08:35.713Z,NVDA,SELL,0.001,185.6300,0.19,Open Short,,,,0.000000,Open Short,0.000167
2025-11-17T21:01:15.258Z,XYZ100,BUY,0.003,24815.0000,-74.45,Close Short,,,,0.255000,Close Short,0.067000
2025-11-17T21:01:15.258Z,XYZ100,BUY,0.0064,24815.0000,-158.82,Close Short,,,,0.544000,Close Short,0.142934
2025-11-17T21:01:15.258Z,TSLA,SELL,0.07,408.7600,28.61,Close Long,,,,-0.859600,Close Long,0.025751
2025-11-17T21:01:15.258Z,TSLA,SELL,0.21,408.7600,85.84,Close Long,,,,-2.578800,Close Long,0.077255
2025-11-17T21:01:15.258Z,NVDA,BUY,1.369,186.7400,-255.65,Close Short,,,,0.268324,Close Short,0.230082
2025-11-17T23:26:20.167Z,PLTR,SELL,3.405,170.7600,581.44,Open Short,,,,0.000000,Open Short,0.523294
2025-11-17T23:26:20.167Z,PLTR,SELL,1.745,170.7600,297.98,Open Short,,,,0.000000,Open Short,0.268178
2025-11-17T23:49:53.893Z,TSLA,BUY,0.851,411.4200,-350.12,Open Long,,,,0.000000,Open Long,0.315106
2025-11-17T23:49:53.893Z,TSLA,BUY,0.269,411.4200,-110.67,Open Long,,,,0.000000,Open Long,0.099604
2025-11-18T05:29:17.053Z,NVDA,SELL,0.063,184.2600,11.61,Open Short,,,,0.000000,Open Short,0.003482
2025-11-18T07:24:32.231Z,NVDA,SELL,0.059,183.1200,10.80,Open Short,,,,0.000000,Open Short,0.009723
2025-11-18T07:24:32.231Z,NVDA,SELL,0.202,183.1200,36.99,Open Short,,,,0.000000,Open Short,0.033291
2025-11-18T07:24:32.231Z,NVDA,SELL,0.069,183.1200,12.64,Open Short,,,,0.000000,Open Short,0.011371
2025-11-18T07:24:32.231Z,NVDA,SELL,3.65,183.1200,668.39,Open Short,,,,0.000000,Open Short,0.601549
2025-11-18T13:03:38.615Z,PLTR,SELL,0.148,167.2500,24.75,Open Short,,,,0.000000,Open Short,0.022277
2025-11-18T13:03:38.615Z,PLTR,SELL,0.144,167.2500,24.08,Open Short,,,,0.000000,Open Short,0.021675
2025-11-18T13:03:38.615Z,PLTR,SELL,0.273,167.2500,45.66,Open Short,,,,0.000000,Open Short,0.041093
2025-11-18T13:03:38.615Z,PLTR,SELL,1.584,167.2500,264.92,Open Short,,,,0.000000,Open Short,0.238431
2025-11-18T13:03:38.615Z,PLTR,SELL,0.096,167.2500,16.06,Open Short,,,,0.000000,Open Short,0.014450
2025-11-18T13:03:38.615Z,PLTR,SELL,0.135,167.2500,22.58,Open Short,,,,0.000000,Open Short,0.020320
2025-11-18T13:03:38.615Z,PLTR,SELL,0.163,167.2500,27.26,Open Short,,,,0.000000,Open Short,0.024535
2025-11-18T13:03:38.615Z,PLTR,SELL,0.066,167.2500,11.04,Open Short,,,,0.000000,Open Short,0.009934
2025-11-18T13:03:38.615Z,PLTR,SELL,0.991,167.2500,165.74,Open Short,,,,0.000000,Open Short,0.149170
2025-11-18T13:19:48.967Z,PLTR,SELL,0.063,167.5400,10.56,Open Short,,,,0.000000,Open Short,0.009499
2025-11-18T13:19:48.967Z,PLTR,SELL,0.107,167.5400,17.93,Open Short,,,,0.000000,Open Short,0.016134
2025-11-18T13:26:33.774Z,PLTR,SELL,3.9,167.1000,651.69,Open Short,,,,0.000000,Open Short,0.586521
2025-11-18T13:32:07.229Z,PLTR,SELL,3.11,167.5400,521.05,Open Short,,,,0.000000,Open Short,0.156314
2025-11-18T15:26:48.967Z,NVDA,SELL,1.65,182.3400,300.86,Open Short,,,,0.000000,Open Short,0.270774
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.0009,24506.0000,22.06,Open Short,,,,0.000000,Open Short,0.019849
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.0006,24506.0000,14.70,Open Short,,,,0.000000,Open Short,0.013233
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.011,24506.0000,269.57,Open Short,,,,0.000000,Open Short,0.242609
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.0026,24506.0000,63.72,Open Short,,,,0.000000,Open Short,0.057344
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.003,24506.0000,73.52,Open Short,,,,0.000000,Open Short,0.066166
2025-11-18T15:26:49.472Z,XYZ100,SELL,0.0019,24506.0000,46.56,Open Short,,,,0.000000,Open Short,0.041905
2025-11-18T17:05:45.733Z,XYZ100,BUY,0.02,24576.0000,-491.52,Close Short,,,,-1.400000,Close Short,0.442368
2025-11-18T17:05:45.733Z,TSLA,SELL,0.066,404.7500,26.71,Close Long,,,,-0.440220,Close Long,0.024042
2025-11-18T17:05:45.733Z,TSLA,SELL,0.084,404.7500,34.00,Close Long,,,,-0.560280,Close Long,0.030599
2025-11-18T17:05:45.733Z,TSLA,SELL,0.167,404.7200,67.59,Close Long,,,,-1.118900,Close Long,0.060829
2025-11-18T17:05:45.733Z,TSLA,SELL,0.803,404.5700,324.87,Close Long,,,,-5.500550,Close Long,0.292382
2025-11-18T17:05:45.733Z,NVDA,BUY,5.693,183.3000,-1043.53,Close Short,,,,-2.243042,Close Short,0.939174
2025-11-18T17:05:45.733Z,PLTR,BUY,2.592,170.2600,-441.31,Close Short,,,,-4.802976,Close Short,0.397182
2025-11-18T17:05:45.733Z,PLTR,BUY,3.771,170.2600,-642.05,Close Short,,,,-6.987663,Close Short,0.577845
2025-11-18T17:05:45.733Z,PLTR,BUY,1.413,170.2600,-240.58,Close Short,,,,-2.618289,Close Short,0.216519
2025-11-18T17:05:45.733Z,PLTR,BUY,2.878,170.2600,-490.01,Close Short,,,,-5.332934,Close Short,0.441007
2025-11-18T17:05:45.733Z,PLTR,BUY,1.35,170.2600,-229.85,Close Short,,,,-2.501550,Close Short,0.206865
2025-11-18T17:05:45.733Z,PLTR,BUY,0.531,170.2600,-90.41,Close Short,,,,-0.983943,Close Short,0.081367
2025-11-18T17:05:45.733Z,PLTR,BUY,0.059,170.2600,-10.05,Close Short,,,,-0.109327,Close Short,0.009040
2025-11-18T17:05:45.733Z,PLTR,BUY,0.081,170.2600,-13.79,Close Short,,,,-0.150093,Close Short,0.012411
2025-11-18T17:05:45.733Z,PLTR,BUY,1.814,170.2600,-308.85,Close Short,,,,-3.361342,Close Short,0.277966
2025-11-18T17:05:45.733Z,PLTR,BUY,0.422,170.2600,-71.85,Close Short,,,,-0.781966,Close Short,0.064664
2025-11-18T17:05:45.733Z,PLTR,BUY,0.768,170.2600,-130.76,Close Short,,,,-1.423104,Close Short,0.117683
2025-11-18T17:05:45.733Z,PLTR,BUY,0.121,170.2600,-20.60,Close Short,,,,-0.224213,Close Short,0.018541
2025-11-18T17:05:45.733Z,PLTR,BUY,0.13,170.2600,-22.13,Close Short,,,,-0.240890,Close Short,0.019920
2025-11-18T17:24:14.384Z,NVDA,BUY,6.19,182.4800,-1129.55,Open Long,,,,0.000000,Open Long,1.016596
2025-11-18T19:23:00.276Z,TSLA,SELL,0.51,403.8200,205.95,Open Short,,,,0.000000,Open Short,0.185353
2025-11-18T19:23:04.017Z,TSLA,SELL,0.041,403.8200,16.56,Open Short,,,,0.000000,Open Short,0.004966
2025-11-18T19:29:05.305Z,XYZ100,SELL,0.02,24630.0000,492.60,Open Short,,,,0.000000,Open Short,0.443340
2025-11-18T19:37:16.897Z,TSLA,SELL,0.619,403.8200,249.96,Open Short,,,,0.000000,Open Short,0.074989
2025-11-18T23:02:31.009Z,XYZ100,BUY,0.008,24486.0000,-195.89,Close Short,,,,1.152000,Close Short,0.176299
2025-11-18T23:02:31.009Z,XYZ100,BUY,0.011,24486.0000,-269.35,Close Short,,,,1.584000,Close Short,0.242411
2025-11-18T23:02:31.009Z,XYZ100,BUY,0.001,24486.0000,-24.49,Close Short,,,,0.144000,Close Short,0.022037
2025-11-18T23:02:31.009Z,TSLA,BUY,0.065,400.1200,-26.01,Close Short,,,,0.240500,Close Short,0.023407
2025-11-18T23:02:31.009Z,TSLA,BUY,0.086,400.1200,-34.41,Close Short,,,,0.318200,Close Short,0.030969
2025-11-18T23:02:31.009Z,TSLA,BUY,0.047,400.1200,-18.81,Close Short,,,,0.173900,Close Short,0.016925
2025-11-18T23:02:31.009Z,TSLA,BUY,0.095,400.1200,-38.01,Close Short,,,,0.351500,Close Short,0.034210
2025-11-18T23:02:31.009Z,TSLA,BUY,0.066,400.1200,-26.41,Close Short,,,,0.244200,Close Short,0.023767
2025-11-18T23:02:31.009Z,TSLA,BUY,0.035,400.1500,-14.01,Close Short,,,,0.128450,Close Short,0.012604
2025-11-18T23:02:31.009Z,TSLA,BUY,0.097,400.1500,-38.81,Close Short,,,,0.355990,Close Short,0.034933
2025-11-18T23:02:31.009Z,TSLA,BUY,0.07,400.1500,-28.01,Close Short,,,,0.256900,Close Short,0.025209
2025-11-18T23:02:31.009Z,TSLA,BUY,0.06,400.1500,-24.01,Close Short,,,,0.220200,Close Short,0.021608
2025-11-18T23:02:31.009Z,TSLA,BUY,0.095,400.1500,-38.01,Close Short,,,,0.348650,Close Short,0.034212
2025-11-18T23:02:31.009Z,TSLA,BUY,0.454,400.1500,-181.67,Close Short,,,,1.666180,Close Short,0.163501
2025-11-18T23:02:31.009Z,NVDA,SELL,6.19,181.0000,1120.39,Close Long,,,,-9.161200,Close Long,1.008351
2025-11-19T00:47:20.754Z,TSLA,SELL,1.652,398.6900,658.64,Open Short,,,,0.000000,Open Short,0.592772
2025-11-19T00:47:20.754Z,TSLA,SELL,0.028,398.6900,11.16,Open Short,,,,0.000000,Open Short,0.010046
2025-11-19T01:27:11.144Z,PLTR,SELL,1.39,166.1800,230.99,Open Short,,,,0.000000,Open Short,0.069297
2025-11-19T01:27:19.315Z,PLTR,SELL,2.15,166.1800,357.29,Open Short,,,,0.000000,Open Short,0.107186
2025-11-19T01:30:49.991Z,PLTR,SELL,3.37,166.1800,560.03,Open Short,,,,0.000000,Open Short,0.168007
2025-11-19T01:31:30.253Z,TSLA,BUY,1.68,399.0000,-670.32,Close Short,,,,-0.520800,Close Short,0.603288
2025-11-19T01:31:33.885Z,PLTR,BUY,1.545,166.1800,-256.75,Close Short,,,,0.000000,Close Short,0.231073
