filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-17T16:37:54.370Z,XYZ100,SELL,0.01,25028.0000,250.28,Open Short,,,,0.000000,Open Short,0.225252
2025-11-17T17:36:03.491Z,NVDA,SELL,0.94,187.8200,176.55,Open Short,,,,0.000000,Open Short,0.158895
2025-11-17T18:37:25.935Z,NVDA,SELL,0.3,186.6600,56.00,Open Short,,,,0.000000,Open Short,0.050398
2025-11-17T19:08:38.215Z,NVDA,SELL,0.22,185.6300,40.84,Open Short,,,,0.000000,Open Short,0.036754
2025-11-17T19:29:19.859Z,NVDA,SELL,0.2,185.1600,37.03,Open Short,,,,0.000000,Open Short,0.033328
2025-11-17T19:40:03.807Z,NVDA,SELL,0.084,184.6900,15.51,Open Short,,,,0.000000,Open Short,0.013962
2025-11-17T19:40:03.807Z,NVDA,SELL,0.136,184.6900,25.12,Open Short,,,,0.000000,Open Short,0.022606
2025-11-17T19:48:14.148Z,NVDA,SELL,0.07,184.8500,12.94,Open Short,,,,0.000000,Open Short,0.011645
2025-11-17T21:00:22.886Z,XYZ100,BUY,0.003,24802.0000,-74.41,Close Short,,,,0.678000,Close Short,0.066965
2025-11-17T21:00:22.886Z,XYZ100,BUY,0.007,24802.0000,-173.61,Close Short,,,,1.582000,Close Short,0.156252
2025-11-17T21:00:22.886Z,NVDA,BUY,1.919,186.6400,-358.16,Close Short,,,,0.040299,Close Short,0.322345
2025-11-17T21:00:22.886Z,NVDA,BUY,0.031,186.6400,-5.79,Close Short,,,,0.000651,Close Short,0.005207
2025-11-17T22:19:51.494Z,NVDA,SELL,3.21,186.4800,598.60,Open Short,,,,0.000000,Open Short,0.179580
2025-11-17T23:26:08.893Z,PLTR,SELL,3.61,170.7500,616.41,Open Short,,,,0.000000,Open Short,0.554766
2025-11-17T23:50:00.476Z,TSLA,BUY,0.999,411.4200,-411.01,Open Long,,,,0.000000,Open Long,0.369907
2025-11-17T23:50:00.476Z,TSLA,BUY,0.049,411.4200,-20.16,Open Long,,,,0.000000,Open Long,0.018143
2025-11-17T23:50:00.476Z,TSLA,BUY,0.702,411.4200,-288.82,Open Long,,,,0.000000,Open Long,0.259935
2025-11-18T15:18:25.153Z,XYZ100,SELL,0.03,24390.0000,731.70,Open Short,,,,0.000000,Open Short,0.219509
2025-11-18T15:44:32.269Z,XYZ100,SELL,0.08,24414.0000,1953.12,Open Short,,,,0.000000,Open Short,1.757808
2025-11-18T16:27:10.979Z,XYZ100,BUY,0.08,24550.0000,-1964.00,Close Short,,,,-11.404000,Close Short,1.767600
2025-11-18T17:05:55.804Z,XYZ100,BUY,0.03,24576.0000,-737.28,Close Short,,,,-5.056500,Close Short,0.663552
2025-11-18T17:05:55.804Z,TSLA,SELL,1.495,404.6200,604.91,Close Long,,,,-10.166000,Close Long,0.544416
2025-11-18T17:05:55.804Z,TSLA,SELL,0.255,404.6200,103.18,Close Long,,,,-1.734000,Close Long,0.092860
2025-11-18T17:05:55.804Z,NVDA,BUY,3.21,183.2900,-588.36,Close Short,,,,10.239900,Close Short,0.529524
2025-11-18T17:05:55.804Z,PLTR,BUY,0.073,170.2600,-12.43,Close Short,,,,0.035770,Close Short,0.011186
2025-11-18T17:05:55.804Z,PLTR,BUY,0.061,170.2600,-10.39,Close Short,,,,0.029890,Close Short,0.009347
2025-11-18T17:05:55.804Z,PLTR,BUY,3.476,170.2600,-591.82,Close Short,,,,1.703240,Close Short,0.532641
2025-11-18T19:22:07.192Z,NVDA,BUY,3.8,183.9600,-699.05,Open Long,,,,0.000000,Open Long,0.629143
2025-11-18T19:48:04.929Z,TSLA,SELL,0.03,406.0200,12.18,Open Short,,,,0.000000,Open Short,0.010962
2025-11-18T19:48:04.929Z,TSLA,SELL,0.345,406.0200,140.08,Open Short,,,,0.000000,Open Short,0.126069
2025-11-18T19:48:04.929Z,TSLA,SELL,0.201,406.0200,81.61,Open Short,,,,0.000000,Open Short,0.073449
2025-11-18T19:48:05.433Z,XYZ100,SELL,0.03,24706.0000,741.18,Open Short,,,,0.000000,Open Short,0.667062
2025-11-18T19:48:06.126Z,PLTR,SELL,0.53,169.5300,89.85,Open Short,,,,0.000000,Open Short,0.080865
2025-11-18T23:02:12.550Z,XYZ100,BUY,0.0121,24485.0000,-296.27,Close Short,,,,2.674100,Close Short,0.266641
2025-11-18T23:02:12.550Z,XYZ100,BUY,0.0005,24485.0000,-12.24,Close Short,,,,0.110500,Close Short,0.011018
2025-11-18T23:02:12.550Z,XYZ100,BUY,0.0154,24485.0000,-377.07,Close Short,,,,3.403400,Close Short,0.339362
2025-11-18T23:02:12.550Z,XYZ100,BUY,0.0005,24485.0000,-12.24,Close Short,,,,0.110500,Close Short,0.011018
2025-11-18T23:02:12.550Z,XYZ100,BUY,0.0015,24485.0000,-36.73,Close Short,,,,0.331500,Close Short,0.033054
2025-11-18T23:02:12.550Z,TSLA,BUY,0.047,400.0500,-18.80,Close Short,,,,0.280590,Close Short,0.016922
2025-11-18T23:02:12.550Z,TSLA,BUY,0.088,400.0500,-35.20,Close Short,,,,0.525360,Close Short,0.031683
2025-11-18T23:02:12.550Z,TSLA,BUY,0.062,400.0500,-24.80,Close Short,,,,0.370140,Close Short,0.022322
2025-11-18T23:02:12.550Z,TSLA,BUY,0.086,400.0500,-34.40,Close Short,,,,0.513420,Close Short,0.030963
2025-11-18T23:02:12.550Z,TSLA,BUY,0.059,400.0500,-23.60,Close Short,,,,0.352230,Close Short,0.021242
2025-11-18T23:02:12.550Z,TSLA,BUY,0.062,400.0500,-24.80,Close Short,,,,0.370140,Close Short,0.022322
2025-11-18T23:02:12.550Z,TSLA,BUY,0.047,400.0500,-18.80,Close Short,,,,0.280590,Close Short,0.016922
2025-11-18T23:02:12.550Z,TSLA,BUY,0.125,400.1100,-50.01,Close Short,,,,0.738750,Close Short,0.045012
2025-11-18T23:02:12.550Z,NVDA,SELL,3.8,181.0000,687.80,Close Long,,,,-11.248000,Close Long,0.619020
2025-11-18T23:02:12.550Z,PLTR,BUY,0.53,166.3600,-88.17,Close Short,,,,1.680100,Close Short,0.079353
2025-11-18T23:22:51.033Z,XYZ100,SELL,0.0478,24526.0000,1172.34,Open Short,,,,0.000000,Open Short,0.351702
2025-11-18T23:22:51.523Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:22:51.523Z,XYZ100,SELL,0.0202,24526.0000,495.43,Open Short,,,,0.000000,Open Short,0.148627
2025-11-18T23:22:56.686Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:22:57.491Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:23:00.701Z,XYZ100,SELL,0.0009,24526.0000,22.07,Open Short,,,,0.000000,Open Short,0.006622
2025-11-18T23:23:06.069Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:23:06.309Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:23:14.587Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:23:14.909Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
2025-11-18T23:23:17.811Z,XYZ100,SELL,0.001,24526.0000,24.53,Open Short,,,,0.000000,Open Short,0.007357
