filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-14T03:20:46.242Z,ETH,SELL,0.05,3226.5000,161.33,Open Short,,,,0.000000,Open Short,0.072596
2025-11-14T03:55:07.579Z,SOL,SELL,0.69,144.0000,99.36,Open Short,,,,0.000000,Open Short,0.044712
2025-11-14T04:18:13.260Z,BTC,SELL,0.00592,98923.0000,585.62,Open Short,,,,0.000000,Open Short,0.263530
2025-11-14T17:54:29.914Z,BTC,BUY,0.00592,95788.0000,-567.06,Close Short,,,,18.559200,Close Short,0.255179
2025-11-14T17:54:31.381Z,ETH,BUY,0.05,3179.3000,-158.97,Close Short,,,,2.360000,Close Short,0.071534
2025-11-14T17:54:32.446Z,SOL,BUY,0.69,141.0300,-97.31,Close Short,,,,2.049300,Close Short,0.043789
2025-11-14T19:03:35.460Z,BTC,SELL,0.01,94982.0000,949.82,Open Short,,,,0.000000,Open Short,0.427419
2025-11-14T19:03:41.586Z,ETH,BUY,0.14,3168.4000,-443.58,Open Long,,,,0.000000,Open Long,0.199609
2025-11-14T19:03:48.172Z,SOL,SELL,1.52,141.2300,214.67,Open Short,,,,0.000000,Open Short,0.096601
2025-11-14T19:06:04.767Z,ETH,SELL,0.14,3166.2000,443.27,Close Long,,,,-0.308000,Close Long,0.066490
2025-11-14T19:20:06.308Z,ETH,SELL,0.0726,3205.3000,232.70,Open Short,,,,0.000000,Open Short,0.104717
2025-11-14T19:20:06.308Z,ETH,SELL,0.0274,3205.3000,87.83,Open Short,,,,0.000000,Open Short,0.039521
2025-11-14T20:42:57.544Z,BTC,BUY,0.01,94237.0000,-942.37,Close Short,,,,7.450000,Close Short,0.141355
2025-11-14T20:56:16.792Z,BTC,SELL,0.01,94273.0000,942.73,Open Short,,,,0.000000,Open Short,0.424228
2025-11-15T00:19:57.246Z,BTC,BUY,0.01,95191.0000,-951.91,Close Short,,,,-9.180000,Close Short,0.428359
2025-11-15T00:19:58.569Z,ETH,BUY,0.1,3135.4000,-313.54,Close Short,,,,6.990000,Close Short,0.141093
2025-11-15T00:19:59.759Z,SOL,BUY,1.52,140.6100,-213.73,Close Short,,,,0.942400,Close Short,0.096177
2025-11-17T16:13:41.314Z,NVDA,SELL,0.261,186.5000,48.68,Open Short,,,,0.000000,Open Short,0.043808
2025-11-17T16:13:41.314Z,NVDA,SELL,0.161,186.5000,30.03,Open Short,,,,0.000000,Open Short,0.027023
2025-11-17T16:13:41.314Z,NVDA,SELL,0.838,186.5000,156.29,Open Short,,,,0.000000,Open Short,0.140658
2025-11-17T16:13:41.314Z,NVDA,SELL,0.616,186.5000,114.88,Open Short,,,,0.000000,Open Short,0.103395
2025-11-17T16:13:41.314Z,NVDA,SELL,0.113,186.5000,21.07,Open Short,,,,0.000000,Open Short,0.018967
2025-11-17T16:13:41.314Z,NVDA,SELL,0.051,186.5000,9.51,Open Short,,,,0.000000,Open Short,0.008560
2025-11-17T16:13:42.963Z,XYZ100,BUY,0.03,24924.0000,-747.72,Open Long,,,,0.000000,Open Long,0.224315
2025-11-17T17:06:13.098Z,TSLA,BUY,0.013,422.8000,-5.50,Open Long,,,,0.000000,Open Long,0.004946
2025-11-17T19:02:41.787Z,XYZ100,SELL,0.01,24815.0000,248.15,Close Long,,,,-1.090000,Close Long,0.223335
2025-11-17T19:02:41.787Z,XYZ100,SELL,0.01,24815.0000,248.15,Close Long,,,,-1.090000,Close Long,0.223335
2025-11-17T19:02:41.787Z,XYZ100,SELL,0.0027,24815.0000,67.00,Close Long,,,,-0.294300,Close Long,0.060300
2025-11-17T19:02:41.787Z,XYZ100,SELL,0.0073,24815.0000,181.15,Close Long,,,,-0.795700,Close Long,0.163034
2025-11-17T19:10:06.382Z,NVDA,SELL,0.82,185.6300,152.22,Open Short,,,,0.000000,Open Short,0.136994
2025-11-17T19:30:11.441Z,XYZ100,SELL,0.01,24772.0000,247.72,Open Short,,,,0.000000,Open Short,0.074316
2025-11-17T19:40:21.753Z,XYZ100,SELL,0.0045,24708.0000,111.19,Open Short,,,,0.000000,Open Short,0.100067
2025-11-17T19:40:23.959Z,XYZ100,BUY,0.01,24709.0000,-247.09,Close Short,,,,0.431300,Close Short,0.222381
2025-11-17T19:47:08.850Z,NVDA,SELL,0.482,184.8500,89.10,Open Short,,,,0.000000,Open Short,0.080187
2025-11-17T19:47:08.850Z,NVDA,SELL,0.202,184.8500,37.34,Open Short,,,,0.000000,Open Short,0.033605
2025-11-17T19:47:11.929Z,XYZ100,BUY,0.0045,24718.0000,-111.23,Close Short,,,,0.153585,Close Short,0.100107
2025-11-17T20:03:17.623Z,NVDA,SELL,0.299,184.5600,55.18,Open Short,,,,0.000000,Open Short,0.049665
2025-11-17T21:06:30.558Z,TSLA,SELL,0.013,409.2600,5.32,Close Long,,,,-0.176020,Close Long,0.004788
2025-11-17T21:06:30.558Z,NVDA,BUY,2.357,186.8200,-440.33,Close Short,,,,-2.241507,Close Short,0.396301
2025-11-17T21:06:30.558Z,NVDA,BUY,1.486,186.8200,-277.61,Close Short,,,,-1.413186,Close Short,0.249853
2025-11-17T22:04:59.180Z,NVDA,SELL,0.049,186.6600,9.15,Open Short,,,,0.000000,Open Short,0.008231
2025-11-17T22:04:59.180Z,NVDA,SELL,0.221,186.6600,41.25,Open Short,,,,0.000000,Open Short,0.037126
2025-11-18T06:40:03.558Z,PLTR,BUY,0.404,168.2200,-67.96,Open Long,,,,0.000000,Open Long,0.061164
2025-11-18T06:40:03.558Z,PLTR,BUY,2.536,168.2200,-426.61,Open Long,,,,0.000000,Open Long,0.383945
2025-11-18T07:24:17.056Z,NVDA,SELL,0.063,183.0900,11.53,Open Short,,,,0.000000,Open Short,0.003460
2025-11-18T08:44:14.029Z,PLTR,BUY,3.305,169.7200,-560.92,Open Long,,,,0.000000,Open Long,0.504832
2025-11-18T08:44:14.029Z,PLTR,BUY,0.299,169.7200,-50.75,Open Long,,,,0.000000,Open Long,0.045671
2025-11-18T08:44:14.029Z,PLTR,BUY,0.09,169.7200,-15.27,Open Long,,,,0.000000,Open Long,0.013747
2025-11-18T08:44:14.029Z,PLTR,BUY,0.486,169.7200,-82.48,Open Long,,,,0.000000,Open Long,0.074235
2025-11-18T10:25:07.927Z,TSLA,BUY,1.46,407.6900,-595.23,Open Long,,,,0.000000,Open Long,0.535704
2025-11-18T11:43:21.868Z,TSLA,BUY,1.23,406.6000,-500.12,Open Long,,,,0.000000,Open Long,0.450106
2025-11-18T12:15:23.969Z,TSLA,BUY,0.65,405.7000,-263.70,Open Long,,,,0.000000,Open Long,0.079111
2025-11-18T13:29:36.232Z,NVDA,SELL,2.57,184.5800,474.37,Open Short,,,,0.000000,Open Short,0.426933
2025-11-18T14:12:31.918Z,PLTR,BUY,2.25,167.7800,-377.50,Open Long,,,,0.000000,Open Long,0.339754
2025-11-18T14:28:43.531Z,PLTR,BUY,0.088,167.9400,-14.78,Open Long,,,,0.000000,Open Long,0.013300
2025-11-18T14:28:43.531Z,PLTR,BUY,0.067,167.9400,-11.25,Open Long,,,,0.000000,Open Long,0.010126
2025-11-18T14:28:43.531Z,PLTR,BUY,1.645,167.9400,-276.26,Open Long,,,,0.000000,Open Long,0.248635
