filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-14T03:41:51.486Z,BTC,SELL,0.01,98944.0000,989.44,Open Short,,,,0.000000,Open Short,0.445248
2025-11-14T03:41:57.992Z,ETH,SELL,0.0024,3219.2000,7.73,Open Short,,,,0.000000,Open Short,0.003476
2025-11-14T17:54:56.280Z,BTC,BUY,0.01,95981.0000,-959.81,Close Short,,,,29.630000,Close Short,0.431914
2025-11-14T17:54:57.687Z,ETH,BUY,0.0024,3184.3000,-7.64,Close Short,,,,0.083760,Close Short,0.003439
2025-11-14T17:55:41.036Z,SOL,BUY,0.22,141.3800,-31.10,Open Long,,,,0.000000,Open Long,0.013996
2025-11-14T18:58:36.981Z,SOL,SELL,0.22,141.2200,31.07,Close Long,,,,-0.035200,Close Long,0.013980
2025-11-14T18:58:38.623Z,BTC,SELL,0.01,95165.0000,951.65,Open Short,,,,0.000000,Open Short,0.428242
2025-11-14T19:04:13.131Z,SOL,SELL,1.32,141.2400,186.44,Open Short,,,,0.000000,Open Short,0.083896
2025-11-14T19:08:51.523Z,ETH,BUY,0.06,3169.2000,-190.15,Open Long,,,,0.000000,Open Long,0.085568
2025-11-14T19:09:27.300Z,ETH,SELL,0.06,3173.4000,190.40,Close Long,,,,0.252000,Close Long,0.028560
2025-11-14T19:17:25.375Z,ETH,SELL,0.08,3201.0000,256.08,Open Short,,,,0.000000,Open Short,0.115236
2025-11-14T19:17:30.349Z,ETH,BUY,0.08,3200.4000,-256.03,Close Short,,,,0.048000,Close Short,0.115214
2025-11-14T19:21:36.377Z,ETH,SELL,0.1,3217.2000,321.72,Open Short,,,,0.000000,Open Short,0.144774
2025-11-14T19:21:41.998Z,ETH,BUY,0.1,3217.6000,-321.76,Close Short,,,,-0.040000,Close Short,0.144792
2025-11-14T19:23:24.149Z,SOL,BUY,1.32,143.5000,-189.42,Close Short,,,,-2.983200,Close Short,0.028412
2025-11-14T19:25:26.690Z,ETH,SELL,0.06,3210.0000,192.60,Open Short,,,,0.000000,Open Short,0.086670
2025-11-14T19:25:31.854Z,ETH,BUY,0.0312,3211.6000,-100.20,Close Short,,,,-0.049920,Close Short,0.045090
2025-11-14T19:25:31.854Z,ETH,BUY,0.0112,3212.0000,-35.97,Close Short,,,,-0.022400,Close Short,0.016188
2025-11-14T19:25:31.854Z,ETH,BUY,0.0176,3212.1000,-56.53,Close Short,,,,-0.036960,Close Short,0.025439
2025-11-14T19:25:33.272Z,SOL,SELL,0.7,142.8600,100.00,Open Short,,,,0.000000,Open Short,0.045000
2025-11-14T19:25:37.735Z,SOL,BUY,0.7,142.8400,-99.99,Close Short,,,,0.014000,Close Short,0.044994
2025-11-14T19:30:14.865Z,ETH,SELL,0.0063,3207.8000,20.21,Open Short,,,,0.000000,Open Short,0.009094
2025-11-14T19:30:14.865Z,ETH,SELL,0.0837,3207.8000,268.49,Open Short,,,,0.000000,Open Short,0.120821
2025-11-14T19:30:20.809Z,ETH,BUY,0.0144,3208.4000,-46.20,Close Short,,,,-0.008640,Close Short,0.020790
2025-11-14T19:30:20.809Z,ETH,BUY,0.0756,3208.4000,-242.56,Close Short,,,,-0.045360,Close Short,0.109149
2025-11-14T19:30:21.424Z,SOL,SELL,0.37,142.5500,52.74,Open Short,,,,0.000000,Open Short,0.023734
2025-11-14T19:35:09.213Z,ETH,SELL,0.04,3197.6000,127.90,Open Short,,,,0.000000,Open Short,0.057556
2025-11-14T19:35:16.827Z,ETH,BUY,0.0144,3196.3000,-46.03,Close Short,,,,0.018720,Close Short,0.020712
2025-11-14T19:35:16.827Z,ETH,BUY,0.0256,3196.4000,-81.83,Close Short,,,,0.030720,Close Short,0.036822
2025-11-14T19:38:36.941Z,ETH,SELL,0.0063,3194.5000,20.13,Open Short,,,,0.000000,Open Short,0.009056
2025-11-14T19:38:36.941Z,ETH,SELL,0.0292,3194.5000,93.28,Open Short,,,,0.000000,Open Short,0.041975
2025-11-14T19:38:36.941Z,ETH,SELL,0.0345,3194.3000,110.20,Open Short,,,,0.000000,Open Short,0.049591
2025-11-14T19:38:43.893Z,ETH,BUY,0.07,3195.8000,-223.71,Close Short,,,,-0.098000,Close Short,0.100667
2025-11-14T19:42:37.220Z,ETH,SELL,0.0478,3192.8000,152.62,Open Short,,,,0.000000,Open Short,0.068677
2025-11-14T19:42:37.220Z,ETH,SELL,0.0122,3192.8000,38.95,Open Short,,,,0.000000,Open Short,0.017528
2025-11-14T20:40:17.979Z,ETH,BUY,0.06,3147.5000,-188.85,Close Short,,,,2.718000,Close Short,0.084982
2025-11-14T20:45:42.545Z,ETH,BUY,0.0292,3133.5000,-91.50,Open Long,,,,0.000000,Open Long,0.041174
2025-11-14T20:45:42.545Z,ETH,BUY,0.0608,3133.8000,-190.54,Open Long,,,,0.000000,Open Long,0.085740
2025-11-14T20:56:32.276Z,ETH,SELL,0.09,3133.8000,282.04,Close Long,,,,0.009000,Close Long,0.126918
2025-11-14T21:02:08.667Z,ETH,SELL,0.0318,3145.9000,100.04,Open Short,,,,0.000000,Open Short,0.045017
2025-11-14T21:02:08.667Z,ETH,SELL,0.0159,3145.6000,50.02,Open Short,,,,0.000000,Open Short,0.022506
2025-11-14T21:02:08.667Z,ETH,SELL,0.0318,3145.3000,100.02,Open Short,,,,0.000000,Open Short,0.045009
2025-11-14T21:02:08.667Z,ETH,SELL,0.0005,3145.3000,1.57,Open Short,,,,0.000000,Open Short,0.000707
2025-11-14T21:02:14.054Z,ETH,BUY,0.08,3145.1000,-251.61,Close Short,,,,0.039200,Close Short,0.113223
2025-11-14T21:07:21.220Z,ETH,SELL,0.07,3161.8000,221.33,Open Short,,,,0.000000,Open Short,0.099596
2025-11-14T21:07:28.167Z,ETH,BUY,0.07,3165.4000,-221.58,Close Short,,,,-0.252000,Close Short,0.099710
2025-11-14T21:13:00.173Z,ETH,SELL,0.11,3160.1000,347.61,Open Short,,,,0.000000,Open Short,0.156424
2025-11-14T21:13:07.831Z,ETH,BUY,0.11,3158.8000,-347.47,Close Short,,,,0.143000,Close Short,0.156360
2025-11-14T21:17:37.077Z,ETH,SELL,0.07,3151.8000,220.63,Open Short,,,,0.000000,Open Short,0.099281
2025-11-14T21:17:41.777Z,ETH,BUY,0.07,3152.1000,-220.65,Close Short,,,,-0.021000,Close Short,0.099291
2025-11-14T21:22:37.546Z,ETH,SELL,0.05,3169.6000,158.48,Open Short,,,,0.000000,Open Short,0.071316
2025-11-14T21:22:45.323Z,ETH,BUY,0.05,3170.2000,-158.51,Close Short,,,,-0.030000,Close Short,0.071329
2025-11-14T21:27:23.417Z,ETH,SELL,0.0064,3165.8000,20.26,Open Short,,,,0.000000,Open Short,0.009117
2025-11-14T21:27:23.417Z,ETH,SELL,0.0736,3165.8000,233.00,Open Short,,,,0.000000,Open Short,0.104851
