filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-14T03:40:27.017Z,ETH,SELL,0.02,3220.2000,64.40,Open Short,,,,0.000000,Open Short,0.028981
2025-11-14T03:40:33.146Z,SOL,SELL,0.35,144.0800,50.43,Open Short,,,,0.000000,Open Short,0.022692
2025-11-14T05:34:34.363Z,BTC,SELL,0.00792,97246.0000,770.19,Open Short,,,,0.000000,Open Short,0.346584
2025-11-14T12:36:23.437Z,SOL,BUY,0.35,136.3900,-47.74,Close Short,,,,2.691500,Close Short,0.021481
2025-11-14T12:44:48.830Z,SOL,BUY,0.16,136.0700,-21.77,Open Long,,,,0.000000,Open Long,0.009797
2025-11-14T17:54:52.352Z,BTC,BUY,0.00098,95967.0000,-94.05,Close Short,,,,1.253420,Close Short,0.042321
2025-11-14T17:54:52.352Z,BTC,BUY,0.00104,95972.0000,-99.81,Close Short,,,,1.324960,Close Short,0.044914
2025-11-14T17:54:52.352Z,BTC,BUY,0.0059,95974.0000,-566.25,Close Short,,,,7.504800,Close Short,0.254810
2025-11-14T17:54:53.646Z,ETH,BUY,0.02,3184.0000,-63.68,Close Short,,,,0.724000,Close Short,0.028656
2025-11-14T17:54:54.650Z,SOL,SELL,0.16,141.1700,22.59,Close Long,,,,0.816000,Close Long,0.010164
2025-11-14T18:49:12.074Z,BTC,SELL,0.01,95254.0000,952.54,Open Short,,,,0.000000,Open Short,0.428643
2025-11-14T19:02:22.558Z,SOL,SELL,0.34,141.3200,48.05,Open Short,,,,0.000000,Open Short,0.021621
2025-11-14T19:02:29.100Z,ETH,BUY,0.02,3169.9000,-63.40,Open Long,,,,0.000000,Open Long,0.028529
2025-11-14T19:07:20.740Z,ETH,SELL,0.02,3165.8000,63.32,Close Long,,,,-0.082000,Close Long,0.028492
2025-11-14T19:12:23.477Z,ETH,SELL,0.01,3186.5000,31.87,Open Short,,,,0.000000,Open Short,0.014339
2025-11-15T00:20:18.517Z,BTC,BUY,0.01,95310.0000,-953.10,Close Short,,,,-0.560000,Close Short,0.428895
2025-11-15T00:20:20.443Z,ETH,BUY,0.01,3140.9000,-31.41,Close Short,,,,0.456000,Close Short,0.014134
2025-11-15T00:20:21.867Z,SOL,BUY,0.34,140.8900,-47.90,Close Short,,,,0.146200,Close Short,0.021556
2025-11-16T22:33:48.656Z,XYZ100,BUY,0.01,25066.0000,-250.66,Open Long,,,,0.000000,Open Long,0.075198
2025-11-16T22:34:24.873Z,XYZ100,SELL,0.003,25066.0000,75.20,Close Long,,,,0.000000,Close Long,0.067678
2025-11-16T22:34:24.873Z,XYZ100,SELL,0.007,25066.0000,175.46,Close Long,,,,0.000000,Close Long,0.157915
2025-11-16T22:37:37.576Z,XYZ100,SELL,0.0079,25066.0000,198.02,Open Short,,,,0.000000,Open Short,0.178219
2025-11-16T23:01:02.254Z,NVDA,BUY,0.21,192.1000,-40.34,Open Long,,,,0.000000,Open Long,0.012102
2025-11-16T23:01:02.254Z,NVDA,BUY,0.17,192.1000,-32.66,Open Long,,,,0.000000,Open Long,0.009797
2025-11-16T23:01:02.254Z,NVDA,BUY,0.17,192.1000,-32.66,Open Long,,,,0.000000,Open Long,0.009797
2025-11-16T23:01:02.254Z,NVDA,BUY,0.28,192.1000,-53.79,Open Long,,,,0.000000,Open Long,0.016136
2025-11-17T18:16:22.309Z,PLTR,SELL,0.166,171.1200,28.41,Open Short,,,,0.000000,Open Short,0.025565
2025-11-17T20:58:33.888Z,XYZ100,BUY,0.0021,24789.0000,-52.06,Close Short,,,,0.581700,Close Short,0.046851
2025-11-17T20:58:33.888Z,XYZ100,BUY,0.0058,24789.0000,-143.78,Close Short,,,,1.606600,Close Short,0.129398
2025-11-17T20:58:33.888Z,NVDA,SELL,0.214,186.3700,39.88,Close Long,,,,-1.226220,Close Long,0.035894
2025-11-17T20:58:33.888Z,NVDA,SELL,0.196,186.3700,36.53,Close Long,,,,-1.123080,Close Long,0.032875
2025-11-17T20:58:33.888Z,NVDA,SELL,0.094,186.3700,17.52,Close Long,,,,-0.538620,Close Long,0.015766
2025-11-17T20:58:33.888Z,NVDA,SELL,0.326,186.3700,60.76,Close Long,,,,-1.867980,Close Long,0.054680
2025-11-17T20:58:33.888Z,PLTR,BUY,0.166,171.0800,-28.40,Close Short,,,,0.006640,Close Short,0.025559
2025-11-17T21:52:19.805Z,NVDA,SELL,2.01,186.4400,374.74,Open Short,,,,0.000000,Open Short,0.337269
2025-11-18T02:07:28.105Z,PLTR,SELL,2.65,170.7200,452.41,Open Short,,,,0.000000,Open Short,0.407167
2025-11-18T09:21:01.790Z,TSLA,BUY,0.856,408.9600,-350.07,Open Long,,,,0.000000,Open Long,0.105020
2025-11-18T12:07:06.023Z,PLTR,SELL,2.22,167.3800,371.58,Open Short,,,,0.000000,Open Short,0.334425
2025-11-18T12:58:54.759Z,NVDA,SELL,0.171,184.2500,31.51,Open Short,,,,0.000000,Open Short,0.028356
2025-11-18T12:58:54.759Z,NVDA,SELL,2.739,184.2500,504.66,Open Short,,,,0.000000,Open Short,0.454194
2025-11-18T17:07:41.295Z,TSLA,SELL,0.856,403.5100,345.40,Close Long,,,,-4.665200,Close Long,0.310864
2025-11-18T17:07:41.295Z,NVDA,BUY,1.727,183.1500,-316.30,Close Short,,,,3.443638,Close Short,0.284670
2025-11-18T17:07:41.295Z,NVDA,BUY,0.852,183.1500,-156.04,Close Short,,,,1.698888,Close Short,0.140439
2025-11-18T17:07:41.295Z,NVDA,BUY,2.341,183.1500,-428.75,Close Short,,,,4.667954,Close Short,0.385878
2025-11-18T17:07:41.295Z,PLTR,BUY,4.87,170.1300,-828.53,Close Short,,,,-4.543710,Close Short,0.745679
