filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-13T19:15:12.648Z,ETH,SELL,0.32,3205.0000,1025.60,Open Short,,,,0.000000,Open Short,0.461520
2025-11-13T19:15:20.847Z,BTC,SELL,0.00364,98648.0000,359.08,Open Short,,,,0.000000,Open Short,0.161585
2025-11-13T22:40:15.506Z,BTC,BUY,0.00364,99879.0000,-363.56,Close Short,,,,-4.480840,Close Short,0.163601
2025-11-13T23:34:41.857Z,ETH,BUY,0.32,3267.6000,-1045.63,Close Short,,,,-20.032000,Close Short,0.470534
2025-11-14T02:44:44.737Z,ETH,SELL,0.11,3246.4000,357.10,Open Short,,,,0.000000,Open Short,0.160696
2025-11-14T02:44:51.186Z,SOL,SELL,0.04,145.3400,5.81,Open Short,,,,0.000000,Open Short,0.002616
2025-11-14T04:34:58.381Z,ETH,BUY,0.11,3180.0000,-349.80,Close Short,,,,7.304000,Close Short,0.052469
2025-11-14T05:25:53.456Z,ETH,SELL,0.02,3180.6000,63.61,Open Short,,,,0.000000,Open Short,0.028625
2025-11-14T12:17:01.989Z,BTC,SELL,0.00642,95568.0000,613.55,Open Short,,,,0.000000,Open Short,0.276095
2025-11-14T12:33:49.104Z,SOL,BUY,0.04,137.9100,-5.52,Close Short,,,,0.297200,Close Short,0.002482
2025-11-14T13:33:50.810Z,SOL,SELL,0.11,136.7400,15.04,Open Short,,,,0.000000,Open Short,0.006768
2025-11-14T13:33:56.811Z,SOL,BUY,0.11,136.7300,-15.04,Close Short,,,,0.001100,Close Short,0.006768
2025-11-14T13:45:19.411Z,SOL,SELL,0.11,136.6400,15.03,Open Short,,,,0.000000,Open Short,0.006763
2025-11-14T13:45:24.583Z,SOL,BUY,0.11,136.5700,-15.02,Close Short,,,,0.007700,Close Short,0.006760
2025-11-14T16:03:57.519Z,SOL,BUY,0.1,142.1600,-14.22,Open Long,,,,0.000000,Open Long,0.006397
2025-11-14T16:23:47.540Z,SOL,SELL,0.1,142.8000,14.28,Close Long,,,,0.064000,Close Long,0.002142
2025-11-14T16:35:04.265Z,SOL,BUY,0.11,143.4900,-15.78,Open Long,,,,0.000000,Open Long,0.007102
2025-11-14T17:26:27.029Z,SOL,SELL,0.11,142.4000,15.66,Close Long,,,,-0.119900,Close Long,0.002349
2025-11-14T17:54:07.980Z,BTC,BUY,0.00642,95777.0000,-614.89,Close Short,,,,-1.341780,Close Short,0.276699
2025-11-14T17:54:09.494Z,ETH,BUY,0.02,3178.3000,-63.57,Close Short,,,,0.046000,Close Short,0.028604
2025-11-14T17:59:48.155Z,ETH,BUY,0.23,3177.0000,-730.71,Open Long,,,,0.000000,Open Long,0.328819
2025-11-14T17:59:54.439Z,SOL,BUY,0.07,141.3400,-9.89,Open Long,,,,0.000000,Open Long,0.004452
2025-11-14T20:45:06.213Z,ETH,SELL,0.23,3128.3000,719.51,Close Long,,,,-11.201000,Close Long,0.323779
2025-11-14T21:44:01.820Z,SOL,SELL,0.07,140.6500,9.85,Close Long,,,,-0.048300,Close Long,0.004430
2025-11-14T22:01:35.211Z,ETH,SELL,0.01,3173.9000,31.74,Open Short,,,,0.000000,Open Short,0.014282
2025-11-14T22:01:42.096Z,SOL,SELL,0.09,140.8300,12.67,Open Short,,,,0.000000,Open Short,0.005703
2025-11-14T23:06:58.317Z,ETH,BUY,0.01,3091.6000,-30.92,Close Short,,,,0.823000,Close Short,0.013912
2025-11-15T00:19:47.150Z,SOL,BUY,0.09,140.6700,-12.66,Close Short,,,,0.014400,Close Short,0.005697
2025-11-17T17:49:27.882Z,NVDA,SELL,0.48,187.0400,89.78,Open Short,,,,0.000000,Open Short,0.080801
2025-11-17T17:49:28.428Z,XYZ100,BUY,0.0076,24974.0000,-189.80,Open Long,,,,0.000000,Open Long,0.170822
2025-11-17T17:49:29.984Z,XYZ100,SELL,0.0076,24973.0000,189.79,Close Long,,,,-0.007600,Close Long,0.170815
2025-11-17T18:52:54.818Z,XYZ100,SELL,0.0074,24900.0000,184.26,Open Short,,,,0.000000,Open Short,0.165834
2025-11-17T21:03:27.146Z,XYZ100,BUY,0.0074,24817.0000,-183.65,Close Short,,,,0.614200,Close Short,0.165280
2025-11-17T21:03:27.146Z,NVDA,BUY,0.48,186.8200,-89.67,Close Short,,,,0.105600,Close Short,0.080706
2025-11-18T06:23:28.954Z,NVDA,SELL,5.43,184.1000,999.66,Open Short,,,,0.000000,Open Short,0.899690
2025-11-18T14:10:12.607Z,PLTR,BUY,7.18,167.7800,-1204.66,Open Long,,,,0.000000,Open Long,0.361398
2025-11-18T14:14:16.745Z,TSLA,BUY,0.161,405.5900,-65.30,Open Long,,,,0.000000,Open Long,0.058769
2025-11-18T17:12:33.613Z,TSLA,SELL,0.161,404.4100,65.11,Close Long,,,,-0.189980,Close Long,0.058599
2025-11-18T17:12:33.613Z,NVDA,BUY,5.43,183.0800,-994.12,Close Short,,,,5.538600,Close Short,0.894711
2025-11-18T17:12:33.613Z,PLTR,SELL,7.18,170.0869,1221.22,Close Long,,,,16.563210,Close Long,1.099099
2025-11-18T17:27:17.728Z,XYZ100,SELL,0.0414,24516.0000,1014.96,Open Short,,,,0.000000,Open Short,0.913466
2025-11-18T17:38:36.384Z,XYZ100,SELL,0.0378,24516.0000,926.70,Open Short,,,,0.000000,Open Short,0.278011
2025-11-18T17:38:36.810Z,XYZ100,SELL,0.0157,24516.0000,384.90,Open Short,,,,0.000000,Open Short,0.115470
2025-11-18T17:38:37.955Z,XYZ100,SELL,0.0151,24516.0000,370.19,Open Short,,,,0.000000,Open Short,0.111057
2025-11-18T17:55:43.444Z,NVDA,BUY,2.7,184.4100,-497.91,Open Long,,,,0.000000,Open Long,0.448116
2025-11-18T18:42:43.511Z,TSLA,SELL,0.413,406.1500,167.74,Open Short,,,,0.000000,Open Short,0.150965
2025-11-18T19:38:09.342Z,GOOGL,BUY,1.74,288.0600,-501.22,Open Long,,,,0.000000,Open Long,0.451101
2025-11-18T19:41:08.952Z,TSLA,SELL,0.827,406.1500,335.89,Open Short,,,,0.000000,Open Short,0.100765
2025-11-18T23:05:26.629Z,XYZ100,BUY,0.11,24513.0409,-2696.43,Close Short,,,,0.325500,Close Short,2.426788
2025-11-18T23:05:26.629Z,TSLA,BUY,1.24,400.4499,-496.56,Close Short,,,,7.068080,Close Short,0.446899
2025-11-18T23:05:26.629Z,NVDA,SELL,2.7,181.1600,489.13,Close Long,,,,-8.775000,Close Long,0.440218
2025-11-18T23:05:26.629Z,GOOGL,SELL,1.74,284.0500,494.25,Close Long,,,,-6.977400,Close Long,0.444822
2025-11-18T23:53:27.383Z,NVDA,SELL,2.2,181.5100,399.32,Open Short,,,,0.000000,Open Short,0.359389
2025-11-18T23:57:02.007Z,NVDA,BUY,2.2,181.5200,-399.34,Close Short,,,,-0.022000,Close Short,0.359409
2025-11-19T04:12:39.231Z,PLTR,BUY,4.52,166.6200,-753.12,Open Long,,,,0.000000,Open Long,0.225936
2025-11-19T06:16:56.222Z,PLTR,SELL,4.52,166.2500,751.45,Close Long,,,,-1.672400,Close Long,0.676304
2025-11-19T07:12:39.831Z,TSLA,SELL,1.95,401.3500,782.63,Open Short,,,,0.000000,Open Short,0.234789
2025-11-19T07:25:30.826Z,PLTR,SELL,2.8,166.4100,465.95,Open Short,,,,0.000000,Open Short,0.419352
2025-11-19T07:32:21.138Z,NVDA,SELL,1.505,182.4800,274.63,Open Short,,,,0.000000,Open Short,0.082389
2025-11-19T07:32:22.709Z,NVDA,SELL,4.295,182.4800,783.75,Open Short,,,,0.000000,Open Short,0.235125
2025-11-19T09:30:47.534Z,NVDA,SELL,2.5,182.3100,455.77,Open Short,,,,0.000000,Open Short,0.136732
2025-11-19T10:40:57.942Z,NVDA,SELL,2.19,182.7500,400.22,Open Short,,,,0.000000,Open Short,0.360200
2025-11-19T11:36:07.392Z,NVDA,SELL,1.9,183.0900,347.87,Open Short,,,,0.000000,Open Short,0.104361
2025-11-19T13:33:14.335Z,XYZ100,SELL,0.02,24614.0000,492.28,Open Short,,,,0.000000,Open Short,0.443050
2025-11-19T15:51:16.917Z,XYZ100,BUY,0.02,24751.0000,-495.02,Close Short,,,,-2.740000,Close Short,0.445518
2025-11-19T15:51:17.813Z,TSLA,BUY,1.95,406.1700,-792.03,Close Short,,,,-9.399000,Close Short,0.712828
2025-11-19T15:51:18.486Z,NVDA,BUY,12.39,186.6770,-2312.93,Close Short,,,,-50.687420,Close Short,2.081627
2025-11-19T15:51:19.567Z,PLTR,BUY,2.8,167.2900,-468.41,Close Short,,,,-2.464000,Close Short,0.421570
2025-11-19T16:24:33.154Z,XYZ100,BUY,0.15,24640.0000,-3696.00,Open Long,,,,0.000000,Open Long,3.326400
2025-11-19T16:44:57.693Z,XYZ100,SELL,0.15,24610.0000,3691.50,Close Long,,,,-4.500000,Close Long,3.322346
2025-11-19T18:09:53.029Z,PLTR,SELL,13.61,164.6200,2240.48,Open Short,,,,0.000000,Open Short,0.672143
2025-11-19T19:17:00.100Z,PLTR,BUY,13.61,164.0200,-2232.31,Close Short,,,,8.166000,Close Short,2.009080
2025-11-19T19:32:02.609Z,GOOGL,BUY,0.669,293.5800,-196.41,Open Long,,,,0.000000,Open Long,0.058921
2025-11-19T19:32:04.806Z,GOOGL,BUY,4.706,293.5800,-1381.59,Open Long,,,,0.000000,Open Long,0.414476
2025-11-19T19:32:27.199Z,TSLA,SELL,2.85,400.7900,1142.25,Open Short,,,,0.000000,Open Short,0.342675
2025-11-19T19:32:39.810Z,GOOGL,BUY,1.425,293.5800,-418.35,Open Long,,,,0.000000,Open Long,0.125505
2025-11-19T19:35:04.155Z,TSLA,SELL,2.15,400.7900,861.70,Open Short,,,,0.000000,Open Short,0.258509
2025-11-19T19:40:32.281Z,TSLA,BUY,5,400.6335,-2003.17,Close Short,,,,0.782430,Close Short,1.802848
2025-11-19T19:40:32.870Z,GOOGL,SELL,6.8,293.4300,1995.32,Close Long,,,,-1.020000,Close Long,1.795786
2025-11-19T21:27:54.867Z,GOOGL,BUY,19.178,294.6500,-5650.80,Open Long,,,,0.000000,Open Long,1.695239
2025-11-19T21:27:55.666Z,GOOGL,BUY,9.854,294.6500,-2903.48,Open Long,,,,0.000000,Open Long,0.871044
2025-11-19T21:27:56.070Z,GOOGL,BUY,10,294.6500,-2946.50,Open Long,,,,0.000000,Open Long,0.883949
2025-11-19T21:27:56.368Z,GOOGL,BUY,0.1,294.6500,-29.46,Open Long,,,,0.000000,Open Long,0.008839
