filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-17T05:23:11.168Z,XYZ100,BUY,0.0023,25196.0000,-57.95,Open Long,,,,0.000000,Open Long,0.052155
2025-11-17T07:21:59.577Z,XYZ100,SELL,0.001,25196.0000,25.20,Close Long,,,,0.000000,Close Long,0.007558
2025-11-17T12:40:24.293Z,NVDA,BUY,0.06,188.1500,-11.29,Open Long,,,,0.000000,Open Long,0.010160
2025-11-17T12:40:26.668Z,NVDA,SELL,0.06,188.1300,11.29,Close Long,,,,-0.001200,Close Long,0.010159
2025-11-17T13:08:28.390Z,XYZ100,SELL,0.0013,25044.0000,32.56,Close Long,,,,-0.197587,Close Long,0.029301
2025-11-17T13:09:36.573Z,NVDA,BUY,0.23,187.7500,-43.18,Open Long,,,,0.000000,Open Long,0.038864
2025-11-17T13:09:36.821Z,NVDA,SELL,0.23,187.7400,43.18,Close Long,,,,-0.002300,Close Long,0.038862
2025-11-17T13:27:00.370Z,XYZ100,BUY,0.0796,25010.0000,-1990.80,Open Long,,,,0.000000,Open Long,1.791716
2025-11-17T13:27:02.812Z,XYZ100,SELL,0.0796,25009.0000,1990.72,Close Long,,,,-0.079600,Close Long,1.791644
2025-11-18T23:38:00.052Z,TSLA,SELL,0.93,400.9600,372.89,Open Short,,,,0.000000,Open Short,0.335603
2025-11-19T00:00:42.400Z,TSLA,BUY,0.93,400.3500,-372.33,Close Short,,,,0.567300,Close Short,0.335092
2025-11-19T18:07:53.005Z,PLTR,SELL,4.56,164.0900,748.25,Open Short,,,,0.000000,Open Short,0.224475
2025-11-19T19:21:09.036Z,PLTR,BUY,4.56,164.1961,-748.73,Close Short,,,,-0.483800,Close Short,0.673860
2025-11-19T19:29:15.965Z,NVDA,BUY,2.97,184.5000,-547.97,Open Long,,,,0.000000,Open Long,0.164389
2025-11-19T19:44:24.892Z,NVDA,SELL,2.97,184.8300,548.95,Close Long,,,,0.980100,Close Long,0.494048
2025-11-19T21:09:44.502Z,NVDA,BUY,15.666,186.8500,-2927.19,Open Long,,,,0.000000,Open Long,0.878157
2025-11-19T21:10:25.722Z,NVDA,BUY,112.634,186.8500,-21045.66,Open Long,,,,0.000000,Open Long,6.313698
2025-11-19T23:12:13.141Z,GOOGL,SELL,12.1,297.7400,3602.65,Open Short,,,,0.000000,Open Short,1.080796
2025-11-20T03:03:52.988Z,NVDA,BUY,5,195.8800,-979.40,Open Long,,,,0.000000,Open Long,0.293820
2025-11-20T04:50:26.689Z,GOOGL,BUY,12.1,301.9252,-3653.29,Close Short,,,,-50.640640,Close Short,3.287964
2025-11-20T06:42:47.006Z,GOOGL,SELL,16.75,298.5100,5000.04,Open Short,,,,0.000000,Open Short,4.500035
2025-11-20T07:15:09.646Z,GOOGL,SELL,2,299.6600,599.32,Open Short,,,,0.000000,Open Short,0.179795
2025-11-20T07:15:15.289Z,GOOGL,SELL,3.337,299.6600,999.97,Open Short,,,,0.000000,Open Short,0.299989
2025-11-20T07:15:15.555Z,GOOGL,SELL,2,299.6600,599.32,Open Short,,,,0.000000,Open Short,0.179795
2025-11-20T07:15:20.288Z,GOOGL,SELL,3.337,299.6600,999.97,Open Short,,,,0.000000,Open Short,0.299989
2025-11-20T07:15:21.090Z,GOOGL,SELL,2,299.6600,599.32,Open Short,,,,0.000000,Open Short,0.179795
2025-11-20T07:15:25.744Z,GOOGL,SELL,3.337,299.6600,999.97,Open Short,,,,0.000000,Open Short,0.299989
2025-11-20T07:15:26.763Z,GOOGL,SELL,0.739,299.6600,221.45,Open Short,,,,0.000000,Open Short,0.066434
2025-11-20T13:23:46.830Z,GOOGL,SELL,31.96,302.3100,9661.83,Open Short,,,,0.000000,Open Short,8.695644
2025-11-20T14:07:38.220Z,XYZ100,BUY,0.12,25158.0000,-3018.96,Open Long,,,,0.000000,Open Long,2.717064
2025-11-20T14:45:40.251Z,NVDA,BUY,24.77,193.4900,-4792.75,Open Long,,,,0.000000,Open Long,1.437824
2025-11-20T14:45:42.560Z,NVDA,BUY,1.23,193.4900,-237.99,Open Long,,,,0.000000,Open Long,0.071397
2025-11-20T15:05:00.401Z,GOOGL,SELL,2.959,304.9000,902.20,Open Short,,,,0.000000,Open Short,0.811975
2025-11-20T15:05:17.010Z,GOOGL,SELL,0.038,304.9000,11.59,Open Short,,,,0.000000,Open Short,0.003475
2025-11-20T15:10:21.427Z,GOOGL,SELL,7.003,304.9000,2135.21,Open Short,,,,0.000000,Open Short,0.640564
2025-11-20T15:28:52.132Z,GOOGL,SELL,0.109,304.5000,33.19,Open Short,,,,0.000000,Open Short,0.009957
2025-11-20T15:29:06.406Z,GOOGL,SELL,0.199,304.5000,60.60,Open Short,,,,0.000000,Open Short,0.018178
2025-11-20T15:29:10.056Z,GOOGL,SELL,1.636,304.5000,498.16,Open Short,,,,0.000000,Open Short,0.149448
2025-11-20T15:29:22.006Z,GOOGL,SELL,0.109,304.5000,33.19,Open Short,,,,0.000000,Open Short,0.009957
2025-11-20T15:29:37.073Z,GOOGL,SELL,17.947,304.5000,5464.86,Open Short,,,,0.000000,Open Short,1.639458
2025-11-20T16:13:17.056Z,NVDA,BUY,3.763,190.2800,-716.02,Open Long,,,,0.000000,Open Long,0.214807
2025-11-20T16:13:21.051Z,NVDA,BUY,0.071,190.2800,-13.51,Open Long,,,,0.000000,Open Long,0.004052
2025-11-20T16:13:24.063Z,NVDA,BUY,1.639,190.2800,-311.87,Open Long,,,,0.000000,Open Long,0.093560
2025-11-20T16:14:18.554Z,NVDA,BUY,1.278,190.2800,-243.18,Open Long,,,,0.000000,Open Long,0.072953
2025-11-20T16:14:21.051Z,NVDA,BUY,0.071,190.2800,-13.51,Open Long,,,,0.000000,Open Long,0.004052
2025-11-20T16:14:24.032Z,NVDA,BUY,1.64,190.2800,-312.06,Open Long,,,,0.000000,Open Long,0.093617
