filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-14T00:19:54.003Z,SOL,SELL,1.13,144.2200,162.97,Open Short,,,,0.000000,Open Short,0.073335
2025-11-14T00:20:00.372Z,ETH,BUY,0.05,3211.0000,-160.55,Open Long,,,,0.000000,Open Long,0.072247
2025-11-14T12:33:53.173Z,ETH,SELL,0.05,3106.5000,155.33,Close Long,,,,-5.225000,Close Long,0.023298
2025-11-14T17:54:22.946Z,SOL,BUY,1.13,141.1142,-159.46,Close Short,,,,3.509500,Close Short,0.071755
2025-11-18T10:41:29.524Z,TSLA,BUY,2.45,407.3600,-998.03,Open Long,,,,0.000000,Open Long,0.898227
2025-11-18T17:11:54.060Z,TSLA,SELL,2.45,404.3700,990.71,Close Long,,,,-7.325500,Close Long,0.891635
2025-11-18T18:57:07.582Z,GOOGL,BUY,6.8,287.4300,-1954.52,Open Long,,,,0.000000,Open Long,1.759071
2025-11-18T19:26:59.328Z,GOOGL,BUY,2.05,287.8600,-590.11,Open Long,,,,0.000000,Open Long,0.531101
2025-11-18T23:06:10.306Z,GOOGL,SELL,8.85,284.0600,2513.93,Close Long,,,,-30.700650,Close Long,2.262535
2025-11-19T13:52:29.653Z,XYZ100,SELL,0.07,24600.0000,1722.00,Open Short,,,,0.000000,Open Short,1.549800
2025-11-19T13:57:50.188Z,PLTR,BUY,4.31,169.0300,-728.52,Open Long,,,,0.000000,Open Long,0.218555
2025-11-19T14:16:57.113Z,XYZ100,SELL,0.08,24546.0000,1963.68,Open Short,,,,0.000000,Open Short,1.767311
2025-11-19T14:17:06.584Z,NVDA,SELL,2.56,184.7800,473.04,Open Short,,,,0.000000,Open Short,0.141911
2025-11-19T14:43:46.574Z,NVDA,SELL,3.196,185.4000,592.54,Open Short,,,,0.000000,Open Short,0.177761
2025-11-19T14:43:48.654Z,NVDA,SELL,0.044,185.4000,8.16,Open Short,,,,0.000000,Open Short,0.002447
2025-11-19T14:44:12.412Z,TSLA,SELL,0.89,402.2400,357.99,Open Short,,,,0.000000,Open Short,0.107398
2025-11-19T15:52:35.420Z,XYZ100,BUY,0.15,24754.0000,-3713.10,Close Short,,,,-27.420280,Close Short,3.341787
2025-11-19T15:52:36.450Z,TSLA,BUY,0.89,406.1700,-361.49,Close Short,,,,-3.497700,Close Short,0.325342
2025-11-19T15:52:37.328Z,NVDA,BUY,5.8,186.4300,-1081.29,Close Short,,,,-7.563200,Close Short,0.973164
2025-11-19T15:52:38.225Z,PLTR,SELL,4.31,167.2500,720.85,Close Long,,,,-7.671800,Close Long,0.648762
2025-11-19T16:23:56.995Z,NVDA,BUY,3.831,185.9100,-712.22,Open Long,,,,0.000000,Open Long,0.213666
2025-11-19T16:23:57.341Z,NVDA,BUY,9.049,185.9100,-1682.30,Open Long,,,,0.000000,Open Long,0.504689
2025-11-19T16:24:30.292Z,XYZ100,BUY,0.18,24640.0000,-4435.20,Open Long,,,,0.000000,Open Long,1.330559
2025-11-19T16:46:06.430Z,XYZ100,SELL,0.18,24597.0000,4427.46,Close Long,,,,-7.740000,Close Long,3.984710
2025-11-19T16:46:07.585Z,NVDA,SELL,12.88,185.2500,2386.02,Close Long,,,,-8.500800,Close Long,2.147414
2025-11-19T17:40:10.911Z,TSLA,BUY,4.423,399.0800,-1765.13,Open Long,,,,0.000000,Open Long,0.529539
2025-11-19T17:40:12.204Z,TSLA,BUY,12.064,399.0800,-4814.50,Open Long,,,,0.000000,Open Long,1.444350
2025-11-19T17:40:14.100Z,TSLA,BUY,0.501,399.0800,-199.94,Open Long,,,,0.000000,Open Long,0.059981
2025-11-19T17:40:29.674Z,TSLA,BUY,0.084,399.0800,-33.52,Open Long,,,,0.000000,Open Long,0.010056
2025-11-19T18:09:13.697Z,PLTR,SELL,6.78,164.4100,1114.70,Open Short,,,,0.000000,Open Short,0.334409
2025-11-19T19:18:05.183Z,TSLA,SELL,17.072,401.5583,6855.40,Close Long,,,,42.309490,Close Long,6.169861
2025-11-19T19:18:06.068Z,PLTR,BUY,6.78,163.7200,-1110.02,Close Short,,,,4.678200,Close Short,0.999019
2025-11-19T19:35:57.351Z,NVDA,BUY,2.501,184.6200,-461.73,Open Long,,,,0.000000,Open Long,0.415561
2025-11-19T19:36:04.156Z,TSLA,SELL,0.067,401.1000,26.87,Open Short,,,,0.000000,Open Short,0.008062
2025-11-19T19:36:43.235Z,TSLA,SELL,2.63,401.1000,1054.89,Open Short,,,,0.000000,Open Short,0.316467
2025-11-19T19:36:45.317Z,TSLA,SELL,3.353,401.1000,1344.89,Open Short,,,,0.000000,Open Short,0.403466
2025-11-19T19:37:16.584Z,NVDA,BUY,17.989,184.6200,-3321.13,Open Long,,,,0.000000,Open Long,0.996338
2025-11-19T19:41:34.079Z,TSLA,BUY,6.05,400.4918,-2422.98,Close Short,,,,3.679440,Close Short,2.180675
2025-11-19T19:41:34.740Z,NVDA,SELL,20.49,184.5300,3781.02,Close Long,,,,-1.844100,Close Long,3.402917
2025-11-19T21:15:28.833Z,GOOGL,SELL,1.113,294.7500,328.06,Open Short,,,,0.000000,Open Short,0.098417
2025-11-19T22:15:50.196Z,TSLA,BUY,0.334,409.4400,-136.75,Open Long,,,,0.000000,Open Long,0.123074
2025-11-19T22:18:12.970Z,TSLA,BUY,3.665,409.4400,-1500.60,Open Long,,,,0.000000,Open Long,0.450179
2025-11-19T22:18:13.499Z,TSLA,BUY,2.528,409.4400,-1035.06,Open Long,,,,0.000000,Open Long,0.310519
2025-11-19T22:18:28.125Z,TSLA,BUY,23.213,409.4400,-9504.33,Open Long,,,,0.000000,Open Long,2.851299
2025-11-19T22:18:30.538Z,TSLA,BUY,6.853,409.4400,-2805.89,Open Long,,,,0.000000,Open Long,0.841767
2025-11-19T22:18:32.973Z,TSLA,BUY,1.731,409.4400,-708.74,Open Long,,,,0.000000,Open Long,0.212622
2025-11-19T22:18:35.055Z,TSLA,BUY,0.626,409.4400,-256.31,Open Long,,,,0.000000,Open Long,0.076892
2025-11-19T22:37:30.189Z,TSLA,SELL,38.95,408.0804,15894.73,Close Long,,,,-52.957820,Close Long,14.305246
