filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-13T22:03:12.584Z,ETH,BUY,0.0063,3181.3000,-20.04,Open Long,,,,0.000000,Open Long,0.009018
2025-11-13T22:03:12.584Z,ETH,BUY,0.0937,3181.5000,-298.11,Open Long,,,,0.000000,Open Long,0.134147
2025-11-13T22:03:19.095Z,SOL,SELL,0.55,141.8700,78.03,Open Short,,,,0.000000,Open Short,0.035112
2025-11-13T22:03:25.054Z,SOL,BUY,0.22,141.8900,-31.22,Close Short,,,,-0.004400,Close Short,0.014047
2025-11-13T22:03:25.054Z,SOL,BUY,0.22,141.9000,-31.22,Close Short,,,,-0.006600,Close Short,0.014048
2025-11-13T22:03:25.054Z,SOL,BUY,0.11,141.9000,-15.61,Close Short,,,,-0.003300,Close Short,0.007024
2025-11-13T22:11:20.853Z,ETH,SELL,0.1,3212.0000,321.20,Close Long,,,,3.052000,Close Long,0.048179
2025-11-14T02:46:02.516Z,BTC,SELL,0.01,99842.0000,998.42,Open Short,,,,0.000000,Open Short,0.449289
2025-11-14T02:46:08.498Z,ETH,SELL,0.0593,3247.4000,192.57,Open Short,,,,0.000000,Open Short,0.086656
2025-11-14T03:41:44.324Z,ETH,BUY,0.0593,3218.5000,-190.86,Close Short,,,,1.713770,Close Short,0.085885
2025-11-14T03:46:03.631Z,ETH,SELL,0.04,3213.7000,128.55,Open Short,,,,0.000000,Open Short,0.057846
2025-11-14T03:46:09.858Z,SOL,SELL,0.75,143.7900,107.84,Open Short,,,,0.000000,Open Short,0.048529
2025-11-14T04:38:22.055Z,BTC,BUY,0.01,97200.0000,-972.00,Close Short,,,,26.420000,Close Short,0.145800
2025-11-14T05:28:09.548Z,BTC,SELL,0.01,97499.0000,974.99,Open Short,,,,0.000000,Open Short,0.438745
2025-11-14T17:54:16.182Z,BTC,BUY,0.01,95794.0000,-957.94,Close Short,,,,17.050000,Close Short,0.431073
2025-11-14T17:54:17.586Z,ETH,BUY,0.0047,3181.1000,-14.95,Close Short,,,,0.153220,Close Short,0.006728
2025-11-14T17:54:17.586Z,ETH,BUY,0.0353,3181.3000,-112.30,Close Short,,,,1.143720,Close Short,0.050534
2025-11-14T17:54:18.835Z,SOL,BUY,0.71,141.1500,-100.22,Close Short,,,,1.874400,Close Short,0.045097
2025-11-14T17:54:18.835Z,SOL,BUY,0.04,141.1500,-5.65,Close Short,,,,0.105600,Close Short,0.002540
2025-11-14T21:49:53.341Z,BTC,SELL,0.01,95013.0000,950.13,Open Short,,,,0.000000,Open Short,0.427558
2025-11-14T21:49:59.317Z,ETH,SELL,0.1,3171.4000,317.14,Open Short,,,,0.000000,Open Short,0.142713
2025-11-14T21:50:05.749Z,SOL,SELL,0.69,140.6100,97.02,Open Short,,,,0.000000,Open Short,0.043659
2025-11-14T23:06:10.681Z,ETH,BUY,0.1,3100.0000,-310.00,Close Short,,,,7.140000,Close Short,0.046499
2025-11-15T00:19:49.979Z,BTC,BUY,0.01,95228.0000,-952.28,Close Short,,,,-2.150000,Close Short,0.428526
2025-11-15T00:19:50.982Z,SOL,BUY,0.69,140.6600,-97.06,Close Short,,,,-0.034500,Close Short,0.043674
2025-11-18T01:11:50.080Z,TSLA,BUY,0.588,410.4300,-241.33,Open Long,,,,0.000000,Open Long,0.217199
2025-11-18T01:11:50.080Z,TSLA,BUY,0.512,410.4300,-210.14,Open Long,,,,0.000000,Open Long,0.189126
2025-11-18T01:18:40.137Z,PLTR,BUY,0.108,170.7200,-18.44,Open Long,,,,0.000000,Open Long,0.016593
2025-11-18T01:18:40.137Z,PLTR,BUY,0.899,170.7200,-153.48,Open Long,,,,0.000000,Open Long,0.138129
2025-11-18T01:18:40.137Z,PLTR,BUY,1.853,170.7200,-316.34,Open Long,,,,0.000000,Open Long,0.284709
2025-11-18T01:18:40.137Z,PLTR,BUY,0.149,170.7200,-25.44,Open Long,,,,0.000000,Open Long,0.022893
2025-11-18T01:18:40.137Z,PLTR,BUY,0.677,170.7200,-115.58,Open Long,,,,0.000000,Open Long,0.104019
2025-11-18T01:18:40.137Z,PLTR,BUY,0.175,170.7200,-29.88,Open Long,,,,0.000000,Open Long,0.026888
2025-11-18T01:18:40.137Z,PLTR,BUY,0.669,170.7200,-114.21,Open Long,,,,0.000000,Open Long,0.102790
2025-11-18T06:58:22.085Z,PLTR,BUY,0.079,167.3100,-13.22,Open Long,,,,0.000000,Open Long,0.011895
2025-11-18T06:58:22.085Z,PLTR,BUY,1.607,167.3100,-268.87,Open Long,,,,0.000000,Open Long,0.241980
2025-11-18T06:58:22.085Z,PLTR,BUY,0.372,167.3100,-62.24,Open Long,,,,0.000000,Open Long,0.056015
2025-11-18T06:58:22.085Z,PLTR,BUY,2.722,167.3100,-455.42,Open Long,,,,0.000000,Open Long,0.409876
2025-11-18T07:05:47.862Z,PLTR,BUY,1.42,167.3100,-237.58,Open Long,,,,0.000000,Open Long,0.213822
2025-11-18T08:24:10.186Z,NVDA,SELL,1.96,184.6600,361.93,Open Short,,,,0.000000,Open Short,0.325740
2025-11-18T08:53:27.602Z,PLTR,BUY,1.18,169.5900,-200.12,Open Long,,,,0.000000,Open Long,0.180104
2025-11-18T17:12:17.217Z,TSLA,SELL,1.1,404.3700,444.81,Close Long,,,,-6.666000,Close Long,0.400326
2025-11-18T17:12:17.217Z,NVDA,BUY,0.143,183.0800,-26.18,Close Short,,,,0.225940,Close Short,0.023562
2025-11-18T17:12:17.217Z,NVDA,BUY,0.128,183.0800,-23.43,Close Short,,,,0.202240,Close Short,0.021090
2025-11-18T17:12:17.217Z,NVDA,BUY,0.091,183.0800,-16.66,Close Short,,,,0.143780,Close Short,0.014994
2025-11-18T17:12:17.217Z,NVDA,BUY,1.598,183.0800,-292.56,Close Short,,,,2.524840,Close Short,0.263305
2025-11-18T17:12:17.217Z,PLTR,SELL,3.769,170.0600,640.96,Close Long,,,,4.628332,Close Long,0.576860
