filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-17T04:17:57.603Z,NVDA,BUY,0.17,192.4400,-32.71,Open Long,,,,0.000000,Open Long,0.029443
2025-11-17T04:17:58.099Z,XYZ100,BUY,0.001,25182.0000,-25.18,Open Long,,,,0.000000,Open Long,0.022663
2025-11-17T04:17:58.099Z,XYZ100,BUY,0.002,25182.0000,-50.36,Open Long,,,,0.000000,Open Long,0.045327
2025-11-17T04:17:58.099Z,XYZ100,BUY,0.0007,25182.0000,-17.63,Open Long,,,,0.000000,Open Long,0.015864
2025-11-17T04:17:59.779Z,XYZ100,SELL,0.0037,25181.0000,93.17,Close Long,,,,-0.003700,Close Long,0.083852
2025-11-17T04:17:59.779Z,NVDA,SELL,0.17,192.4300,32.71,Close Long,,,,-0.001700,Close Long,0.029441
2025-11-17T04:19:11.507Z,NVDA,BUY,0.16,192.4400,-30.79,Open Long,,,,0.000000,Open Long,0.027711
2025-11-17T04:19:11.710Z,NVDA,SELL,0.16,192.4300,30.79,Close Long,,,,-0.001600,Close Long,0.027709
2025-11-17T04:19:11.976Z,XYZ100,BUY,0.001,25182.0000,-25.18,Open Long,,,,0.000000,Open Long,0.022663
2025-11-17T04:19:11.976Z,XYZ100,BUY,0.002,25182.0000,-50.36,Open Long,,,,0.000000,Open Long,0.045327
2025-11-17T04:19:11.976Z,XYZ100,BUY,0.0013,25182.0000,-32.74,Open Long,,,,0.000000,Open Long,0.029462
2025-11-17T04:19:11.976Z,XYZ100,BUY,0.0009,25182.0000,-22.66,Open Long,,,,0.000000,Open Long,0.020397
2025-11-17T04:19:14.807Z,XYZ100,SELL,0.0052,25181.0000,130.94,Close Long,,,,-0.005200,Close Long,0.117847
2025-11-17T04:52:27.878Z,XYZ100,BUY,0.0052,25196.0000,-131.02,Open Long,,,,0.000000,Open Long,0.117917
2025-11-17T04:52:29.896Z,XYZ100,SELL,0.0052,25195.0000,131.01,Close Long,,,,-0.005200,Close Long,0.117912
2025-11-17T04:53:55.986Z,XYZ100,BUY,0.0416,25196.0000,-1048.15,Open Long,,,,0.000000,Open Long,0.943338
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.006,25195.0000,151.17,Close Long,,,,-0.006000,Close Long,0.136053
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.0199,25195.0000,501.38,Close Long,,,,-0.019900,Close Long,0.451242
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.0019,25195.0000,47.87,Close Long,,,,-0.001900,Close Long,0.043083
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.0004,25195.0000,10.08,Close Long,,,,-0.000400,Close Long,0.009070
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.0022,25195.0000,55.43,Close Long,,,,-0.002200,Close Long,0.049886
2025-11-17T04:53:56.798Z,XYZ100,SELL,0.0112,25195.0000,282.18,Close Long,,,,-0.011200,Close Long,0.253965
