filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id
2025-03-17T23:59:59.999Z,AMZN,BUY,15,195.74,-2936.10,"AMZN remains severely oversold with RSI 34, trading below both 20-day and 50-day SMAs. Strong fundamentals with AWS cloud business and retail operations. Technical setup suggests attractive risk/reward for additional exposure.",,run-01kb789w7db291yhtfvckfh18y,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-11T23:59:59.999Z,AMD,BUY,10,96.76,-967.60,"Severely oversold with RSI 32, strong AI chip positioning, trading well below moving averages",,run-01kb785hs2mnz4teweb68k03wp,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-11T23:59:59.999Z,AAPL,BUY,10,220.84,-2208.40,"Severely oversold with RSI 31, trading below moving averages, strong ecosystem and AI integration potential",,run-01kb785hs2mnz4teweb68k03wp,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-11T23:59:59.999Z,GOOGL,BUY,10,164.04,-1640.40,"Severely oversold with RSI 30, trading below both moving averages, dominant position in AI and search",,run-01kb785hs2mnz4teweb68k03wp,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-11T23:59:59.999Z,AMZN,BUY,15,196.59,-2948.85,"Severely oversold with RSI 29, trading below both 20-day and 50-day SMAs, strong long-term fundamentals in cloud and AI",,run-01kb785hs2mnz4teweb68k03wp,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-07T23:59:59.999Z,NVDA,BUY,15,112.69,-1690.35,"Oversold with RSI 38 despite strong recent earnings, trading at $112.69 vs 20-day SMA of $127.93, AI market leader",,run-01kb782sstkhsh3wqk9ag8xg88,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-07T23:59:59.999Z,AMD,BUY,20,100.31,-2006.20,"Oversold with RSI 37, trading at $100.31 vs 20-day SMA of $106.79, strong AI GPU positioning",,run-01kb782sstkhsh3wqk9ag8xg88,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-07T23:59:59.999Z,AMZN,BUY,30,199.25,-5977.50,"Severely oversold with RSI 29, trading well below 20-day and 50-day SMAs, strong long-term e-commerce and AWS fundamentals",,run-01kb782sstkhsh3wqk9ag8xg88,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-06T23:59:59.999Z,AMZN,BUY,15,200.70,-3010.50,"Oversold (RSI 30), AWS cloud growth, AI services expansion, e-commerce recovery potential",,run-01kb7818b27b6nmdfcmfg2xfye,erun-01kb7777wjen1xq0a4t5tckqzg
2025-03-06T23:59:59.999Z,AVGO,BUY,15,179.45,-2691.75,"Most oversold in portfolio (RSI 30), strong AI infrastructure play, diversified semiconductor business",,run-01kb7818b27b6nmdfcmfg2xfye,erun-01kb7777wjen1xq0a4t5tckqzg
