filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id
2025-10-10T23:59:59.999Z,NVDA,BUY,1,183.16,-183.16,"Momentum improving (MACD histogram positive, price above 20/50-day); incremental add while RSI ~52 and position remains under $25k cap.",,run-01kb4cykzd9c3kfq1066jsky76,erun-01kb3r1qahget23czfchvzwqfy
2025-10-10T23:59:59.999Z,AMZN,BUY,5,216.37,-1081.85,AMZN is oversold (RSI ~39) and trading below 20/50-day SMAs with MACD histogram close to turning; mean-reversion add in a high-quality compounder while position remains under $25k cap.,,run-01kb4cykzd9c3kfq1066jsky76,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,NVDA,BUY,3,189.11,-567.33,"Momentum improving (RSI ~63, MACD+); add modestly while remaining under $25k cap.",,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,UBER,BUY,5,99.28,-496.40,"Trend intact above MAs with RSI ~57; incremental add funded by trims, still under $25k cap.",,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,AVGO,BUY,7,345.50,-2418.50,Rebalance into our smallest position. Trend above 20/50-day; RSI ~60 with cooling MACD hist—add on consolidation while staying well under $25k.,,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,MSFT,SELL,2,524.85,1049.70,Slightly above $25k at current price; trim 2 shares to restore compliance while momentum remains healthy.,,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,ARM,SELL,17,166.77,2835.09,"Trim an overbought, near-cap position (RSI >70) and bring value under $25k. Harvest strength and reduce concentration.",,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-08T23:59:59.999Z,AMZN,SELL,2,225.22,450.44,"Reduce position to comply with $25k max (112 shares at ~$225 > $25k). Neutral technicals (RSI ~50, MACD hist slightly negative).",,run-01kb4cp569v5nr7k224g220ejd,erun-01kb3r1qahget23czfchvzwqfy
2025-10-02T23:59:59.999Z,ARM,BUY,12,152.15,-1825.74,"Add to a constructive trend: RSI ~59, MACD histogram positive, trading above 20/50-day; position remains under $25k cap after add.",,run-01kb4c8sden4ajxdvwwk2p1t1g,erun-01kb3r1qahget23czfchvzwqfy
2025-10-02T23:59:59.999Z,NVDA,SELL,12,188.89,2266.68,Trim a near-cap position with RSI ~66 and strong positive MACD to reduce overbought risk and rebalance concentration; raise cash for higher risk-adjusted setup.,,run-01kb4c8sden4ajxdvwwk2p1t1g,erun-01kb3r1qahget23czfchvzwqfy
2025-09-25T23:59:59.999Z,UBER,BUY,1,97.60,-97.60,Constructive trend above 20/50-day with positive momentum; add modestly to a core position.,,run-01kb4brj85knnzw2pcbsfdhpss,erun-01kb3r1qahget23czfchvzwqfy
